abaxial to	axial to
obsolete high enzyme function value	obsolete low enzyme function value
obsolete high percentage	obsolete low percentage
obsolete high yield	obsolete low yield
obsolete intercross fertile	obsolete intercross sterile
obsolete negative regulation	obsolete positive regulation
old	young
opaque	transparent
ornamented	unornamented
pigmented	unpigmented
responsive to	unresponsive to
rough	smooth
serrated	unserrated
splayed dorsal	splayed ventral
stratified	unstratified
structured	unstructured
