Embarrassing input: <leukopenia>
Embarrassing input: <leukemia>
abnormal dark-adapted electroretinogram	HP:0030469	abnormal light-adapted electroretinogram	HP:0008275
decreased hemoglobin concentration	HP:0020062	increased hemoglobin concentration	HP:0020063
decreased hepatic echogenicity	HP:0031143	increased hepatic echogenicity	HP:0031141
decreased high-mannose n-glycan level	HP:0410358	increased high-mannose n-glycan level	HP:0410357
decreased immunoglobulin level in body fluid	HP:0041078	increased immunoglobulin level in body fluid	HP:0041077
decreased incisura length	HP:0031230	increased incisura length	HP:0031229
decreased inflammatory response	HP:0012648	increased inflammatory response	HP:0012649
decreased intestinal transit time	HP:0030897	increased intestinal transit time	HP:0410204
decreased intracranial pressure	HP:0012641	increased intracranial pressure	HP:0002516
decreased ldl cholesterol concentration	HP:0003563	increased ldl cholesterol concentration	HP:0003141
decreased level of carnosine in blood	HP:0500162	increased level of carnosine in blood	HP:0500161
decreased level of gaba in serum	HP:0410054	increased level of gaba in serum	HP:0410053
decreased level of platelet-activating factor	HP:0040179	increased level of platelet-activating factor	HP:0040178
decreased libido	HP:0046504	increased libido	HP:0046503
decreased lymphocyte apoptosis	HP:0002731	increased lymphocyte apoptosis	HP:0030887
decreased male libido	HP:0040306	increased male libido	HP:0040305
decreased mannose-binding protein level	HP:0032305	increased mannose-binding protein level	HP:0032306
decreased mannosylation of n-linked protein glycosylation	HP:0012356	increased mannosylation of n-linked protein glycosylation	HP:0012357
decreased mean corpuscular hemoglobin concentration	HP:0025547	increased mean corpuscular hemoglobin concentration	HP:0025548
decreased mean corpuscular volume	HP:0025066	increased mean corpuscular volume	HP:0005518
decreased mean platelet volume	HP:0005537	increased mean platelet volume	HP:0011877
decreased mitochondrial number	HP:0040013	increased mitochondrial number	HP:0040014
decreased monosialylated core 1 o-glycan level	HP:0410364	increased monosialylated core 1 o-glycan level	HP:0410363
decreased muscle glycogen content	HP:0012270	increased muscle glycogen content	HP:0009051
decreased phosphoribosylpyrophosphate synthetase level	HP:0032460	increased phosphoribosylpyrophosphate synthetase level	HP:0003240
decreased pineal volume	HP:0012685	increased pineal volume	HP:0012686
decreased pituitary glycoprotein hormone alpha subunit level	HP:0032482	increased pituitary glycoprotein hormone alpha subunit level	HP:0031208
decreased proportion of cd4+cd25+ regulatory t cells	HP:0020113	increased proportion of cd4+cd25+ regulatory t cells	HP:0020112
decreased proportion of class-switched memory b cells	HP:0030388	increased proportion of class-switched memory b cells	HP:0030387
decreased proportion of gamma-delta t cells	HP:0500271	increased proportion of gamma-delta t cells	HP:0500270
decreased proportion of immature b cells	HP:0030378	increased proportion of immature b cells	HP:0030377
decreased proportion of immature gamma-delta t cells	HP:0500274	increased proportion of immature gamma-delta t cells	HP:0500273
decreased proportion of marginal zone b cells	HP:0030384	increased proportion of marginal zone b cells	HP:0030385
decreased proportion of memory b cells	HP:0030374	increased proportion of memory b cells	HP:0030375
decreased proportion of memory t cells	HP:0032183	increased proportion of memory t cells	HP:0032184
decreased proportion of naive b cells	HP:0030372	increased proportion of naive b cells	HP:0030371
decreased proportion of naive cd4 t cells	HP:0410378	increased proportion of naive cd4 t cells	HP:0410375
decreased proportion of naive cd8 t cells	HP:0410377	increased proportion of naive cd8 t cells	HP:0410376
decreased proportion of naive t cells	HP:0031397	increased proportion of naive t cells	HP:0031398
decreased proportion of plasmablasts	HP:0032129	increased proportion of plasmablasts	HP:0032128
decreased proportion of transitional b cells	HP:0030380	increased proportion of transitional b cells	HP:0030381
decreased proportion of unswitched memory b cells	HP:0032126	increased proportion of unswitched memory b cells	HP:0032125
decreased qrs voltage	HP:0025077	increased qrs voltage	HP:0025075
decreased red blood cell count	HP:0020060	increased red blood cell count	HP:0020059
decreased resting energy expenditure	HP:0012340	increased resting energy expenditure	HP:0012339
decreased salivary cortisol level	HP:0033014	increased salivary cortisol level	HP:0033015
decreased scrotal rugation	HP:0012858	increased scrotal rugation	HP:0012857
decreased serum estradiol	HP:0008214	increased serum estradiol	HP:0025134
decreased serum estriol	HP:0025137	increased serum estriol	HP:0025136
decreased serum estrone	HP:0025140	increased serum estrone	HP:0025139
decreased serum ferritin	HP:0012343	increased serum ferritin	HP:0003281
decreased serum insulin-like growth factor 1	HP:0030353	increased serum insulin-like growth factor 1	HP:0030269
decreased serum iron	HP:0040303	increased serum iron	HP:0003452
decreased serum leptin	HP:0003292	increased serum leptin	HP:0031793
decreased serum testosterone level	HP:0040171	increased serum testosterone level	HP:0030088
decreased serum zinc	HP:0031831	increased serum zinc	HP:0011424
decreased sialylated n-glycan level	HP:0410355	increased sialylated n-glycan level	HP:0410354
decreased sialylation of n-linked protein glycosylation	HP:0012350	increased sialylation of n-linked protein glycosylation	HP:0012351
decreased size of nasopharyngeal adenoids	HP:0040260	increased size of nasopharyngeal adenoids	HP:0040261
decreased size of the clitoris	HP:0040254	increased size of the clitoris	HP:0040253
decreased skull ossification	HP:0004331	increased skull ossification	HP:0004330
decreased superoxide dismutase level	HP:0031837	increased superoxide dismutase level	HP:0031836
decreased t3/t4 ratio	HP:0012560	increased t3/t4 ratio	HP:0012559
decreased thyroid-stimulating hormone level	HP:0031098	increased thyroid-stimulating hormone level	HP:0002925
decreased total hemolytic complement activity	HP:0031906	increased total hemolytic complement activity	HP:0031905
decreased total iron binding capacity	HP:0033211	increased total iron binding capacity	HP:0025196
decreased uridine diphosphate glucose-4-epimerase level in plasma	HP:0410195	increased uridine diphosphate glucose-4-epimerase level in plasma	HP:0410194
decreased uridine diphosphate glucose-4-epimerase level in red blood cells	HP:0410198	increased uridine diphosphate glucose-4-epimerase level in red blood cells	HP:0410197
decreased urinary 1-methylhistidine	HP:0410314	increased urinary 1-methylhistidine	HP:0410315
decreased urinary 3-methylhistidine	HP:0410318	increased urinary 3-methylhistidine	HP:0410317
decreased urinary copper concentration	HP:0045035	increased urinary copper concentration	HP:0010839
decreased urinary potassium	HP:0012364	increased urinary potassium	HP:0003081
decreased urinary sulfate	HP:0003359	increased urinary sulfate	HP:0012613
decreased urinary urate	HP:0011935	increased urinary urate	HP:0012611
decreased urine alpha-ketoglutarate concentration	HP:0012403	increased urine alpha-ketoglutarate concentration	HP:0012402
decreased urine urobilinogen	HP:0032473	increased urine urobilinogen	HP:0031890
decreased vldl cholesterol concentration	HP:0031243	increased vldl cholesterol concentration	HP:0003362
decreased waist to hip ratio	HP:0031820	increased waist to hip ratio	HP:0031819
disproportionate short stature	HP:0003498	proportionate short stature	HP:0003508
disproportionate tall stature	HP:0001519	proportionate tall stature	HP:0011407
dysgerminoma	HP:0100621	germinoma	HP:0100620
early chronotype	HP:0031873	late chronotype	HP:0031874
early inspiratory crackles	HP:0031997	late inspiratory crackles	HP:0031998
early spermatogenesis maturation arrest	HP:0031039	late spermatogenesis maturation arrest	HP:0031040
fast-growing nails	HP:0030806	slow-growing nails	HP:0008383
happy demeanor	HP:0040082	unhappy demeanor	HP:0031588
heavy-chain paraproteinemia	HP:0031049	light-chain paraproteinemia	HP:0031048
high anterior hairline	HP:0009890	low anterior hairline	HP:0000294
high insertion of columella	HP:0012807	low insertion of columella	HP:0010763
high maternal serum alpha-fetoprotein	HP:0011432	low maternal serum alpha-fetoprotein	HP:0010570
high maternal serum chorionic gonadotropin	HP:0011433	low maternal serum chorionic gonadotropin	HP:0011434
high posterior hairline	HP:0012891	low posterior hairline	HP:0002162
high pulse pressure	HP:0030852	low pulse pressure	HP:0030851
high serum calcifediol	HP:0031414	low serum calcifediol	HP:0012053
high serum calcitriol	HP:0031415	low serum calcitriol	HP:0012052
high-frequency sensorineural hearing impairment	HP:0001757	low-frequency sensorineural hearing impairment	HP:0008573
high-output congestive heart failure	HP:0001722	low-output congestive heart failure	HP:0009805
hodgkin lymphoma	HP:0012189	non-hodgkin lymphoma	HP:0012539
hyperactive bowel sounds	HP:0030143	hypoactive bowel sounds	HP:0030144
hyperalaninemia	HP:0003348	hypoalaninemia	HP:0500154
hyperalbuminemia	HP:0012117	hypoalbuminemia	HP:0003073
hyperammonemia	HP:0001987	hypoammonemia	HP:0100493
hyperamylasemia	HP:0410288	hypoamylasemia	HP:0410289
hyperargininemia	HP:0500153	hypoargininemia	HP:0005961
hyperasparaginemia	HP:0500156	hypoasparaginemia	HP:0500157
hyperautofluorescent macular lesion	HP:0030631	hypoautofluorescent macular lesion	HP:0030632
hyperautofluorescent retinal lesion	HP:0025158	hypoautofluorescent retinal lesion	HP:0025159
hypercalcemia	HP:0003072	hypocalcemia	HP:0002901
hypercalciuria	HP:0002150	hypocalciuria	HP:0003127
hypercapnia in cord blood	HP:0410214	hypocapnia in cord blood	HP:0410215
hypercapnia	HP:0012416	hypocapnia	HP:0012417
hyperchloremia	HP:0011423	hypochloremia	HP:0003113
hyperchloriduria	HP:0002914	hypochloriduria	HP:0012601
hypercholesterolemia	HP:0003124	hypocholesterolemia	HP:0003146
hypercitraturia	HP:0012406	hypocitraturia	HP:0012405
hyperdeviation	HP:0025587	hypodeviation	HP:0025588
hyperfibrinogenemia	HP:0011899	hypofibrinogenemia	HP:0011900
hyperglutamatemia	HP:0500149	hypoglutamatemia	HP:0500150
hyperglycemia	HP:0003074	hypoglycemia	HP:0001943
hyperglycinemia	HP:0002154	hypoglycinemia	HP:0012277
hyperglycorrhachia	HP:0031885	hypoglycorrhachia	HP:0011972
hypergonadotropic hypogonadism	HP:0000815	hypogonadotropic hypogonadism	HP:0000044
hyperhidrosis	HP:0000975	hypohidrosis	HP:0000966
hyperintensity of cerebral white matter on mri	HP:0030890	hypointensity of cerebral white matter on mri	HP:0007103
hyperisoleucinemia	HP:0010913	hypoisoleucinemia	HP:0500144
hyperkalemia	HP:0002153	hypokalemia	HP:0002900
hyperleucinemia	HP:0010911	hypoleucinemia	HP:0500143
hyperlipidemia	HP:0003077	hypolipidemia	HP:0045014
hyperlipoproteinemia	HP:0010980	hypolipoproteinemia	HP:0010981
hypermagnesiuria	HP:0012608	hypomagnesiuria	HP:0012609
hypermanganesemia	HP:0032097	hypomanganesemia	HP:0032098
hypermelanotic macule	HP:0001034	hypomelanotic macule	HP:0009719
hypermethioninemia	HP:0003235	hypomethioninemia	HP:0003658
hypermetric horizontal saccades	HP:0032013	hypometric horizontal saccades	HP:0007975
hypermetric saccades	HP:0007338	hypometric saccades	HP:0000571
hypernatriuria	HP:0012605	hyponatriuria	HP:0012604
hyperparathyroidism	HP:0000843	hypoparathyroidism	HP:0000829
hyperperistalsis	HP:0100770	hypoperistalsis	HP:0100771
hyperphenylalaninemia	HP:0004923	hypophenylalaninemia	HP:0500141
hyperphoria	HP:0025585	hypophoria	HP:0031725
hyperphosphatemia	HP:0002905	hypophosphatemia	HP:0002148
hyperphosphaturia	HP:0003109	hypophosphaturia	HP:0012365
hyperpigmentation of the fundus	HP:0011512	hypopigmentation of the fundus	HP:0007894
hyperpigmentation of the skin	HP:0000953	hypopigmentation of the skin	HP:0001010
hyperpigmented genitalia	HP:0030258	hypopigmented genitalia	HP:0030259
hyperpigmented streaks	HP:0007572	hypopigmented streaks	HP:0007535
hyperpituitarism	HP:0010514	hypopituitarism	HP:0040075
hyperplasia of the maxilla	HP:0430028	hypoplasia of the maxilla	HP:0000327
hyperplasia of the premaxilla	HP:0430029	hypoplasia of the premaxilla	HP:0010650
hyperplastic labia majora	HP:0012882	hypoplastic labia majora	HP:0000059
hyperprolinemia	HP:0008358	hypoprolinemia	HP:0500139
hyperproteinemia	HP:0002152	hypoproteinemia	HP:0003075
hyperreflexia	HP:0001347	hyporeflexia	HP:0001265
hypersegmentation of neutrophil nuclei in csf	HP:0410312	hyposegmentation of neutrophil nuclei in csf	HP:0410311
hypersegmentation of neutrophil nuclei	HP:0004821	hyposegmentation of neutrophil nuclei	HP:0011447
hypertaurinemia	HP:0500181	hypotaurinemia	HP:0500182
hypertelorism	HP:0000316	hypotelorism	HP:0000601
hypertension	HP:0000822	hypotension	HP:0002615
hyperthreoninemia	HP:0003354	hypothreoninemia	HP:0500136
hyperthyroidism	HP:0000836	hypothyroidism	HP:0000821
hypertriglyceridemia	HP:0002155	hypotriglyceridemia	HP:0012153
hypertropia	HP:0025586	hypotropia	HP:0025584
hypertryptophanemia	HP:0500134	hypotryptophanemia	HP:0500135
hypertyrosinemia	HP:0003231	hypotyrosinemia	HP:0500133
hyperuricemia	HP:0002149	hypouricemia	HP:0003537
hyperventilation	HP:0002883	hypoventilation	HP:0002791
ketotic hypoglycemia	HP:0012734	nonketotic hypoglycemia	HP:0001958
large basal ganglia	HP:0007048	small basal ganglia	HP:0012697
large cell lung carcinoma	HP:0030360	small cell lung carcinoma	HP:0030357
large earlobe	HP:0009748	small earlobe	HP:0000385
large face	HP:0100729	small face	HP:0000274
large for gestational age	HP:0001520	small for gestational age	HP:0001518
large foramen magnum	HP:0002700	small foramen magnum	HP:0002677
large forehead	HP:0002003	small forehead	HP:0000350
large humeral epiphyses	HP:0003898	small humeral epiphyses	HP:0003900
large intestinal polyposis	HP:0030255	small intestinal polyposis	HP:0030256
large placenta	HP:0006267	small placenta	HP:0006266
large radial epiphyses	HP:0004005	small radial epiphyses	HP:0004010
large sella turcica	HP:0002690	small sella turcica	HP:0010538
large vessel vasculitis	HP:0005310	small vessel vasculitis	HP:0011944
leukemia	HP:0001909	leukopenia	HP:0001882
medial calcification of large arteries	HP:0004966	medial calcification of small arteries	HP:0012458
medullary thyroid carcinoma	HP:0002865	non-medullary thyroid carcinoma	HP:0040198
monoclonal elevation of igg heavy chain	HP:0032293	monoclonal elevation of igg light chain	HP:0032292
neoplasm of the large intestine	HP:0100834	neoplasm of the small intestine	HP:0100833
non-obstructive azoospermia	HP:0011961	obstructive azoospermia	HP:0011962
non-restrictive ventricular septal defect	HP:0011684	restrictive ventricular septal defect	HP:0011683
non-secretory adrenocortical adenoma	HP:0011745	secretory adrenocortical adenoma	HP:0011746
non-small cell lung carcinoma	HP:0030358	small cell lung carcinoma	HP:0030357
nonopposable triphalangeal thumb	HP:0005725	opposable triphalangeal thumb	HP:0005866
nonproductive cough	HP:0031246	productive cough	HP:0031245
nonprogressive cerebellar ataxia	HP:0002470	progressive cerebellar ataxia	HP:0002073
nonprogressive encephalopathy	HP:0007030	progressive encephalopathy	HP:0002448
nonprogressive visual loss	HP:0200068	progressive visual loss	HP:0000529
