(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
4-hydroxycoumarin biosynthetic process	GO:1901884	4-hydroxycoumarin catabolic process	GO:1901883
4-hydroxyphenylacetate biosynthetic process	GO:1901024	4-hydroxyphenylacetate catabolic process	GO:1901023
4-hydroxyproline biosynthetic process	GO:0019472	4-hydroxyproline catabolic process	GO:0019470
5,6,7,8-tetrahydromethanopterin biosynthetic process	GO:1901285	5,6,7,8-tetrahydromethanopterin catabolic process	GO:1901284
5,6,7,8-tetrahydrosarcinapterin biosynthetic process	GO:1901855	5,6,7,8-tetrahydrosarcinapterin catabolic process	GO:1901854
5-methylcytosine biosynthetic process	GO:0046082	5-methylcytosine catabolic process	GO:0006211
5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate biosynthetic process	GO:1901949	5alpha,9alpha,10beta-labda-8(20),13-dien-15-yl diphosphate catabolic process	GO:1901948
6-alpha-maltosylglucose biosynthetic process	GO:0051680	6-alpha-maltosylglucose catabolic process	GO:0051681
7,8-didemethyl-8-hydroxy-5-deazariboflavin biosynthetic process	GO:1901852	7,8-didemethyl-8-hydroxy-5-deazariboflavin catabolic process	GO:1901851
7-methylguanosine biosynthetic process	GO:0046118	7-methylguanosine catabolic process	GO:0046119
abscisic acid biosynthetic process	GO:0009688	abscisic acid catabolic process	GO:0046345
acetaldehyde biosynthetic process	GO:0046186	acetaldehyde catabolic process	GO:0046187
acetate biosynthetic process	GO:0019413	acetate catabolic process	GO:0045733
acetoacetic acid biosynthetic process	GO:0043441	acetoacetic acid catabolic process	GO:0043442
acetoin biosynthetic process	GO:0045151	acetoin catabolic process	GO:0045150
acetone biosynthetic process	GO:0043445	acetone catabolic process	GO:0043444
acetyl-coa biosynthetic process	GO:0006085	acetyl-coa catabolic process	GO:0046356
acetylcholine biosynthetic process	GO:0008292	acetylcholine catabolic process	GO:0006581
acetylenic compound biosynthetic process	GO:0120247	acetylenic compound catabolic process	GO:0120248
achromobactin biosynthetic process	GO:0042861	achromobactin catabolic process	GO:0042862
actinorhodin biosynthetic process	GO:1901112	actinorhodin catabolic process	GO:1901111
activation of recombination (hml)	GO:0007536	inactivation of recombination (hml)	GO:0007537
acute inflammatory response to antigenic stimulus	GO:0002438	chronic inflammatory response to antigenic stimulus	GO:0002439
acute inflammatory response to non-antigenic stimulus	GO:0002525	chronic inflammatory response to non-antigenic stimulus	GO:0002545
acute inflammatory response	GO:0002526	chronic inflammatory response	GO:0002544
acylglycerol biosynthetic process	GO:0046463	acylglycerol catabolic process	GO:0046464
adenine biosynthetic process	GO:0046084	adenine catabolic process	GO:0006146
adenosine biosynthetic process	GO:0046086	adenosine catabolic process	GO:0006154
adp biosynthetic process	GO:0006172	adp catabolic process	GO:0046032
aerobic benzoate metabolic process	GO:0019620	anaerobic benzoate metabolic process	GO:0018875
aerobic cobalamin biosynthetic process	GO:0019250	anaerobic cobalamin biosynthetic process	GO:0019251
aerobic electron transport chain	GO:0019646	anaerobic electron transport chain	GO:0019645
aerobic fructose catabolic process	GO:0019576	anaerobic fructose catabolic process	GO:0019325
aerobic gallate catabolic process	GO:0042195	anaerobic gallate catabolic process	GO:0019328
aerobic glycerol catabolic process	GO:0019564	anaerobic glycerol catabolic process	GO:0019588
aerobic lactate catabolic process	GO:1990484	anaerobic lactate catabolic process	GO:1990485
aerobic nitrilotriacetate metabolic process	GO:0018935	anaerobic nitrilotriacetate metabolic process	GO:0018936
aerobic organosilicon metabolic process	GO:0018946	anaerobic organosilicon metabolic process	GO:0018947
aerobic phenol-containing compound biosynthetic process	GO:0046190	aerobic phenol-containing compound catabolic process	GO:0046191
aerobic phenol-containing compound biosynthetic process	GO:0046190	anaerobic phenol-containing compound biosynthetic process	GO:0046192
aerobic phenol-containing compound catabolic process	GO:0046191	anaerobic phenol-containing compound catabolic process	GO:0046193
aerobic phenol-containing compound metabolic process	GO:0018959	anaerobic phenol-containing compound metabolic process	GO:0042215
aerobic respiration	GO:0009060	anaerobic respiration	GO:0009061
aflatoxin biosynthetic process	GO:0045122	aflatoxin catabolic process	GO:0046223
ajmaline biosynthetic process	GO:1900988	ajmaline catabolic process	GO:1900987
alanine biosynthetic process	GO:0006523	alanine catabolic process	GO:0006524
alcohol biosynthetic process	GO:0046165	alcohol catabolic process	GO:0046164
aldaric acid biosynthetic process	GO:0019578	aldaric acid catabolic process	GO:0019579
aldehyde biosynthetic process	GO:0046184	aldehyde catabolic process	GO:0046185
alditol biosynthetic process	GO:0019401	alditol catabolic process	GO:0019405
aldonic acid biosynthetic process	GO:0046175	aldonic acid catabolic process	GO:0046176
aldosterone biosynthetic process	GO:0032342	aldosterone catabolic process	GO:0032343
alginic acid biosynthetic process	GO:0042121	alginic acid catabolic process	GO:0042122
alkaloid biosynthetic process	GO:0009821	alkaloid catabolic process	GO:0009822
alkane biosynthetic process	GO:0043447	alkane catabolic process	GO:0043448
alkanesulfonate biosynthetic process	GO:0046305	alkanesulfonate catabolic process	GO:0046306
alkene biosynthetic process	GO:0043450	alkene catabolic process	GO:0043451
alkyne biosynthetic process	GO:0043453	alkyne catabolic process	GO:0043454
all-trans-neoxanthin biosynthetic process	GO:1901833	all-trans-neoxanthin catabolic process	GO:1901832
allantoin biosynthetic process	GO:0019428	allantoin catabolic process	GO:0000256
allose biosynthetic process	GO:0046366	allose catabolic process	GO:0046367
alpha-amino acid biosynthetic process	GO:1901607	alpha-amino acid catabolic process	GO:1901606
alpha-copaene biosynthetic process	GO:1901931	alpha-copaene catabolic process	GO:1901930
alpha-glucan biosynthetic process	GO:0030979	alpha-glucan catabolic process	GO:0030980
alpha-pinene biosynthetic process	GO:0046248	alpha-pinene catabolic process	GO:0046249
alpha-zeacarotene biosynthetic process	GO:1901821	alpha-zeacarotene catabolic process	GO:1901820
alveolar primary septum development	GO:0061143	alveolar secondary septum development	GO:0061144
amine biosynthetic process	GO:0009309	amine catabolic process	GO:0009310
amino acid export across plasma membrane	GO:0032973	amino acid import across plasma membrane	GO:0089718
amino sugar biosynthetic process	GO:0046349	amino sugar catabolic process	GO:0046348
amino-acid betaine biosynthetic process	GO:0006578	amino-acid betaine catabolic process	GO:0006579
aminoglycan biosynthetic process	GO:0006023	aminoglycan catabolic process	GO:0006026
aminoglycoside antibiotic biosynthetic process	GO:0030648	aminoglycoside antibiotic catabolic process	GO:0030649
amp biosynthetic process	GO:0006167	amp catabolic process	GO:0006196
amyloid precursor protein biosynthetic process	GO:0042983	amyloid precursor protein catabolic process	GO:0042987
amylopectin biosynthetic process	GO:0010021	amylopectin catabolic process	GO:2000897
anaerobic phenol-containing compound biosynthetic process	GO:0046192	anaerobic phenol-containing compound catabolic process	GO:0046193
anaerobic toluene biosynthetic process	GO:0046253	anaerobic toluene catabolic process	GO:0046254
anastral spindle assembly involved in male meiosis	GO:0009971	astral spindle assembly involved in male meiosis	GO:0055050
anastral spindle assembly	GO:0055048	astral spindle assembly	GO:0055049
androgen biosynthetic process	GO:0006702	androgen catabolic process	GO:0006710
anion homeostasis	GO:0055081	ion homeostasis	GO:0050801
anion transmembrane transport	GO:0098656	ion transmembrane transport	GO:0034220
anion transport	GO:0006820	ion transport	GO:0006811
anisotropic cell growth	GO:0051211	isotropic cell growth	GO:0051210
anthocyanin-containing compound biosynthetic process	GO:0009718	anthocyanin-containing compound catabolic process	GO:0046284
antibiotic biosynthetic process	GO:0017000	antibiotic catabolic process	GO:0017001
antiphagocytosis	GO:0052067	phagocytosis	GO:0006909
apocarotenoid biosynthetic process	GO:0043289	apocarotenoid catabolic process	GO:0043290
arabinan biosynthetic process	GO:0035884	arabinan catabolic process	GO:0031222
arabinose biosynthetic process	GO:0019567	arabinose catabolic process	GO:0019568
arginine biosynthetic process	GO:0006526	arginine catabolic process	GO:0006527
aromatic amino acid family biosynthetic process	GO:0009073	aromatic amino acid family catabolic process	GO:0009074
aromatic compound biosynthetic process	GO:0019438	aromatic compound catabolic process	GO:0019439
arugosin biosynthetic process	GO:1900587	arugosin catabolic process	GO:1900586
ascospore wall chitin biosynthetic process	GO:0034217	ascospore wall chitin catabolic process	GO:0034232
asexual reproduction	GO:0019954	sexual reproduction	GO:0019953
asexual spore wall assembly	GO:0042243	sexual spore wall assembly	GO:0034294
asexual sporulation resulting in formation of a cellular spore	GO:0043936	sexual sporulation resulting in formation of a cellular spore	GO:0043935
asexual sporulation resulting in formation of a multicellular or syncytial spore	GO:0075284	sexual sporulation resulting in formation of a multicellular or syncytial spore	GO:0075285
asexual sporulation	GO:0030436	sexual sporulation	GO:0034293
asparagine biosynthetic process	GO:0006529	asparagine catabolic process	GO:0006530
aspartate biosynthetic process	GO:0006532	aspartate catabolic process	GO:0006533
aspartate family amino acid biosynthetic process	GO:0009067	aspartate family amino acid catabolic process	GO:0009068
asperfuranone biosynthetic process	GO:1900554	asperfuranone catabolic process	GO:1900553
asperthecin biosynthetic process	GO:0036184	asperthecin catabolic process	GO:0036183
aspyridone a biosynthetic process	GO:1901518	aspyridone a catabolic process	GO:1901517
aspyridone b biosynthetic process	GO:1901521	aspyridone b catabolic process	GO:1901520
associative learning	GO:0008306	nonassociative learning	GO:0046958
astaxanthin biosynthetic process	GO:1901815	astaxanthin catabolic process	GO:1901814
asymmetric cell division	GO:0008356	symmetric cell division	GO:0098725
asymmetric neuroblast division	GO:0055059	symmetric neuroblast division	GO:0055058
asymmetric stem cell division	GO:0098722	symmetric stem cell division	GO:0098724
asynchronous neurotransmitter secretion	GO:0071912	synchronous neurotransmitter secretion	GO:0071911
atrichoblast differentiation	GO:0010055	trichoblast differentiation	GO:0010054
atrichoblast fate specification	GO:0010056	trichoblast fate specification	GO:0010057
atropine biosynthetic process	GO:1901051	atropine catabolic process	GO:1901050
austinol biosynthetic process	GO:1900560	austinol catabolic process	GO:1900559
auxin biosynthetic process	GO:0009851	auxin catabolic process	GO:0009852
averantin biosynthetic process	GO:1900763	averantin catabolic process	GO:1900762
b cell negative selection	GO:0002352	b cell positive selection	GO:0002346
bacitracin a biosynthetic process	GO:1901124	bacitracin a catabolic process	GO:1901123
backward locomotion	GO:0043057	forward locomotion	GO:0043056
bacteriochlorophyll biosynthetic process	GO:0030494	bacteriochlorophyll catabolic process	GO:0030495
bacteriocin biosynthetic process	GO:0030152	bacteriocin catabolic process	GO:0046225
baroreceptor detection of decreased arterial stretch	GO:0003024	baroreceptor detection of increased arterial stretch	GO:0003023
baroreceptor response to decreased systemic arterial blood pressure	GO:0001982	baroreceptor response to increased systemic arterial blood pressure	GO:0001983
benzene biosynthetic process	GO:1900997	benzene catabolic process	GO:1900996
benzoyl-coa biosynthetic process	GO:1901789	benzoyl-coa catabolic process	GO:1901788
benzylpenicillin biosynthetic process	GO:1901088	benzylpenicillin catabolic process	GO:1901087
beta-alanine biosynthetic process	GO:0019483	beta-alanine catabolic process	GO:0019484
beta-carotene biosynthetic process	GO:1901812	beta-carotene catabolic process	GO:1901811
beta-caryophyllene biosynthetic process	GO:1901937	beta-caryophyllene catabolic process	GO:1901936
beta-d-galactofuranose biosynthetic process	GO:1901358	beta-d-galactofuranose catabolic process	GO:1901357
beta-glucan biosynthetic process	GO:0051274	beta-glucan catabolic process	GO:0051275
beta-glucoside biosynthetic process	GO:1901806	beta-glucoside catabolic process	GO:1901805
beta-lactam antibiotic biosynthetic process	GO:0030654	beta-lactam antibiotic catabolic process	GO:0030655
beta-zeacarotene biosynthetic process	GO:1901818	beta-zeacarotene catabolic process	GO:1901817
betaine aldehyde biosynthetic process	GO:1902063	betaine aldehyde catabolic process	GO:1902062
bicyclogermacrene biosynthetic process	GO:1901934	bicyclogermacrene catabolic process	GO:1901933
bile acid biosynthetic process	GO:0006699	bile acid catabolic process	GO:0030573
biosynthetic process of antibacterial peptides active against gram-negative bacteria	GO:0002812	biosynthetic process of antibacterial peptides active against gram-positive bacteria	GO:0002815
biosynthetic process	GO:0009058	catabolic process	GO:0009056
biotin biosynthetic process	GO:0009102	biotin catabolic process	GO:0042367
bis(5'-nucleosidyl) oligophosphate biosynthetic process	GO:0015957	bis(5'-nucleosidyl) oligophosphate catabolic process	GO:0015958
blasticidin s biosynthetic process	GO:1905266	blasticidin s catabolic process	GO:1905265
bradykinin biosynthetic process	GO:0002936	bradykinin catabolic process	GO:0010815
branched-chain amino acid biosynthetic process	GO:0009082	branched-chain amino acid catabolic process	GO:0009083
brassinosteroid biosynthetic process	GO:0016132	brassinosteroid catabolic process	GO:0016133
brevianamide f biosynthetic process	GO:1900805	brevianamide f catabolic process	GO:1900804
brexanolone biosynthetic process	GO:0062174	brexanolone catabolic process	GO:0062175
butanediol biosynthetic process	GO:0034079	butanediol catabolic process	GO:0034078
butirosin biosynthetic process	GO:1901758	butirosin catabolic process	GO:1901757
butyrate biosynthetic process	GO:0046358	butyrate catabolic process	GO:0046359
butyryl-coa biosynthetic process	GO:0044578	butyryl-coa catabolic process	GO:0044580
c21-steroid hormone biosynthetic process	GO:0006700	c21-steroid hormone catabolic process	GO:0008208
cadinene biosynthetic process	GO:1901928	cadinene catabolic process	GO:1901927
calcium ion export across plasma membrane	GO:1990034	calcium ion import across plasma membrane	GO:0098703
calcium ion export	GO:1901660	calcium ion import	GO:0070509
calcium ion transmembrane transport via high voltage-gated calcium channel	GO:0061577	calcium ion transmembrane transport via low voltage-gated calcium channel	GO:0090676
camp biosynthetic process	GO:0006171	camp catabolic process	GO:0006198
candicidin biosynthetic process	GO:1901127	candicidin catabolic process	GO:1901126
canonical wnt signaling pathway involved in heart development	GO:0061316	non-canonical wnt signaling pathway involved in heart development	GO:0061341
canonical wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	GO:1904954	non-canonical wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	GO:1905438
canonical wnt signaling pathway involved in negative regulation of apoptotic process	GO:0044336	canonical wnt signaling pathway involved in positive regulation of apoptotic process	GO:0044337
canonical wnt signaling pathway	GO:0060070	non-canonical wnt signaling pathway	GO:0035567
capsanthin biosynthetic process	GO:1901809	capsanthin catabolic process	GO:1901808
capsorubin biosynthetic process	GO:1901866	capsorubin catabolic process	GO:1901865
carbamoyl phosphate biosynthetic process	GO:0070409	carbamoyl phosphate catabolic process	GO:0035975
carbapenem biosynthetic process	GO:1901769	carbapenem catabolic process	GO:1901768
carbohydrate biosynthetic process	GO:0016051	carbohydrate catabolic process	GO:0016052
carbohydrate derivative biosynthetic process	GO:1901137	carbohydrate derivative catabolic process	GO:1901136
carboxylic acid biosynthetic process	GO:0046394	carboxylic acid catabolic process	GO:0046395
carnitine biosynthetic process	GO:0045329	carnitine catabolic process	GO:0042413
carotene biosynthetic process	GO:0016120	carotene catabolic process	GO:0016121
carotenoid biosynthetic process	GO:0016117	carotenoid catabolic process	GO:0016118
catechol-containing compound biosynthetic process	GO:0009713	catechol-containing compound catabolic process	GO:0019614
catecholamine biosynthetic process	GO:0042423	catecholamine catabolic process	GO:0042424
cdp biosynthetic process	GO:0046705	cdp catabolic process	GO:0046706
cdp-diacylglycerol biosynthetic process	GO:0016024	cdp-diacylglycerol catabolic process	GO:0046342
cell wall chitin biosynthetic process	GO:0006038	cell wall chitin catabolic process	GO:0006039
cell wall macromolecule biosynthetic process	GO:0044038	cell wall macromolecule catabolic process	GO:0016998
cell wall polysaccharide biosynthetic process	GO:0070592	cell wall polysaccharide catabolic process	GO:0044347
cellular alcohol biosynthetic process	GO:0044108	cellular alcohol catabolic process	GO:0044109
cellular amino acid biosynthetic process	GO:0008652	cellular amino acid catabolic process	GO:0009063
cellular biogenic amine biosynthetic process	GO:0042401	cellular biogenic amine catabolic process	GO:0042402
cellular biosynthetic process	GO:0044249	cellular catabolic process	GO:0044248
cellular carbohydrate biosynthetic process	GO:0034637	cellular carbohydrate catabolic process	GO:0044275
cellular lactam biosynthetic process	GO:0072339	cellular lactam catabolic process	GO:0072340
cellular lipid biosynthetic process	GO:0097384	cellular lipid catabolic process	GO:0044242
cellular macromolecule biosynthetic process	GO:0034645	cellular macromolecule catabolic process	GO:0044265
cellular modified amino acid biosynthetic process	GO:0042398	cellular modified amino acid catabolic process	GO:0042219
cellular modified histidine biosynthetic process	GO:0052703	cellular modified histidine catabolic process	GO:0052702
cellular nitrogen compound biosynthetic process	GO:0044271	cellular nitrogen compound catabolic process	GO:0044270
cellular polysaccharide biosynthetic process	GO:0033692	cellular polysaccharide catabolic process	GO:0044247
cellular response to decreased oxygen levels	GO:0036294	cellular response to increased oxygen levels	GO:0036295
cellulose biosynthetic process	GO:0030244	cellulose catabolic process	GO:0030245
central b cell negative selection	GO:0002354	central b cell positive selection	GO:0002348
cephalosporin c biosynthetic process	GO:1901268	cephalosporin c catabolic process	GO:1901267
cephamycin c biosynthetic process	GO:1901118	cephamycin c catabolic process	GO:1901117
ceramide biosynthetic process	GO:0046513	ceramide catabolic process	GO:0046514
ceramide phosphoethanolamine biosynthetic process	GO:1905373	ceramide phosphoethanolamine catabolic process	GO:1905372
cgmp biosynthetic process	GO:0006182	cgmp catabolic process	GO:0046069
chalcone biosynthetic process	GO:0009715	chalcone catabolic process	GO:0046280
chanoclavine-i aldehyde biosynthetic process	GO:1900569	chanoclavine-i aldehyde catabolic process	GO:1900568
chanoclavine-i biosynthetic process	GO:1900566	chanoclavine-i catabolic process	GO:1900565
chitin biosynthetic process	GO:0006031	chitin catabolic process	GO:0006032
chlorophyll a biosynthetic process	GO:0033305	chlorophyll a catabolic process	GO:0033310
chlorophyll biosynthetic process	GO:0015995	chlorophyll catabolic process	GO:0015996
cholesterol biosynthetic process	GO:0006695	cholesterol catabolic process	GO:0006707
choline biosynthetic process	GO:0042425	choline catabolic process	GO:0042426
chondroitin sulfate biosynthetic process	GO:0030206	chondroitin sulfate catabolic process	GO:0030207
chrysobactin biosynthetic process	GO:0042858	chrysobactin catabolic process	GO:0042859
cinnamic acid biosynthetic process	GO:0009800	cinnamic acid catabolic process	GO:0046281
cinnamic acid ester biosynthetic process	GO:0009802	cinnamic acid ester catabolic process	GO:0046282
cis-abienol biosynthetic process	GO:1902246	cis-abienol catabolic process	GO:1902245
citrulline biosynthetic process	GO:0019240	citrulline catabolic process	GO:0019241
classical arabinogalactan protein metabolic process	GO:0010406	non-classical arabinogalactan protein metabolic process	GO:0010407
cmp biosynthetic process	GO:0009224	cmp catabolic process	GO:0006248
cobalamin biosynthetic process	GO:0009236	cobalamin catabolic process	GO:0042366
cocaine biosynthetic process	GO:0050799	cocaine catabolic process	GO:0050784
coenzyme a biosynthetic process	GO:0015937	coenzyme a catabolic process	GO:0015938
collagen biosynthetic process	GO:0032964	collagen catabolic process	GO:0030574
copal-8-ol diphosphate(3-) biosynthetic process	GO:1902243	copal-8-ol diphosphate(3-) catabolic process	GO:1902242
copper ion export	GO:0060003	copper ion import	GO:0015677
cordyol c biosynthetic process	GO:1900799	cordyol c catabolic process	GO:1900798
corrin biosynthetic process	GO:0046140	corrin catabolic process	GO:0046141
coumarin biosynthetic process	GO:0009805	coumarin catabolic process	GO:0046226
cspyrone b1 biosynthetic process	GO:1900802	cspyrone b1 catabolic process	GO:1900801
ctp biosynthetic process	GO:0006241	ctp catabolic process	GO:0006254
cuticle chitin biosynthetic process	GO:0006035	cuticle chitin catabolic process	GO:0006036
cyanate biosynthetic process	GO:0046201	cyanate catabolic process	GO:0009440
cyanide biosynthetic process	GO:0046202	cyanide catabolic process	GO:0019500
cyanogenic glycoside biosynthetic process	GO:0019756	cyanogenic glycoside catabolic process	GO:0042342
cyclic nucleotide biosynthetic process	GO:0009190	cyclic nucleotide catabolic process	GO:0009214
cyclic photosynthetic phosphorylation	GO:0009778	noncyclic photosynthetic phosphorylation	GO:0009779
cyclopentanol biosynthetic process	GO:0033021	cyclopentanol catabolic process	GO:0033022
cysteine biosynthetic process	GO:0019344	cysteine catabolic process	GO:0009093
cytidine biosynthetic process	GO:0046088	cytidine catabolic process	GO:0006216
cytokinin biosynthetic process	GO:0009691	cytokinin catabolic process	GO:0009823
cytosine biosynthetic process	GO:0046089	cytosine catabolic process	GO:0006209
d-alanine biosynthetic process	GO:0030632	d-alanine catabolic process	GO:0055130
d-alanine family amino acid biosynthetic process	GO:0046145	d-alanine family amino acid catabolic process	GO:0030633
d-allose biosynthetic process	GO:0019315	d-allose catabolic process	GO:0019316
d-amino acid biosynthetic process	GO:0046437	d-amino acid catabolic process	GO:0019478
d-galacturonate biosynthetic process	GO:0033482	d-galacturonate catabolic process	GO:0019698
d-glucarate biosynthetic process	GO:0042837	d-glucarate catabolic process	GO:0042838
d-gluconate biosynthetic process	GO:0046178	d-gluconate catabolic process	GO:0046177
d-glucuronate biosynthetic process	GO:0042841	d-glucuronate catabolic process	GO:0042840
d-leucine biosynthetic process	GO:1900833	d-leucine catabolic process	GO:1900832
d-ribose 5-phosphate biosynthetic process	GO:1901280	d-ribose 5-phosphate catabolic process	GO:1901279
d-ribose biosynthetic process	GO:0019302	d-ribose catabolic process	GO:0019303
d-serine biosynthetic process	GO:0070179	d-serine catabolic process	GO:0036088
d-xylose biosynthetic process	GO:0042842	d-xylose catabolic process	GO:0042843
dadp biosynthetic process	GO:0006173	dadp catabolic process	GO:0046057
damp biosynthetic process	GO:0006170	damp catabolic process	GO:0046059
datp biosynthetic process	GO:0006175	datp catabolic process	GO:0046061
daunorubicin biosynthetic process	GO:1901771	daunorubicin catabolic process	GO:1901770
dcdp biosynthetic process	GO:0006240	dcdp catabolic process	GO:0006251
dcmp biosynthetic process	GO:0046064	dcmp catabolic process	GO:0006249
dctp biosynthetic process	GO:0006242	dctp catabolic process	GO:0006253
defasciculation of motor neuron axon	GO:0007415	fasciculation of motor neuron axon	GO:0097156
defense response to gram-negative bacterium	GO:0050829	defense response to gram-positive bacterium	GO:0050830
dehydroaustinol biosynthetic process	GO:1900563	dehydroaustinol catabolic process	GO:1900562
delta-carotene biosynthetic process	GO:1901824	delta-carotene catabolic process	GO:1901823
demethylation	GO:0070988	methylation	GO:0032259
demethylkotanin biosynthetic process	GO:1900599	demethylkotanin catabolic process	GO:1900598
deoxyadenosine biosynthetic process	GO:0046091	deoxyadenosine catabolic process	GO:0006157
deoxycytidine biosynthetic process	GO:0046093	deoxycytidine catabolic process	GO:0006217
deoxyguanosine biosynthetic process	GO:0042452	deoxyguanosine catabolic process	GO:0006161
deoxyinosine biosynthetic process	GO:0046095	deoxyinosine catabolic process	GO:0006149
deoxyribonucleoside biosynthetic process	GO:0046120	deoxyribonucleoside catabolic process	GO:0046121
deoxyribonucleoside diphosphate biosynthetic process	GO:0009189	deoxyribonucleoside diphosphate catabolic process	GO:0009192
deoxyribonucleoside monophosphate biosynthetic process	GO:0009157	deoxyribonucleoside monophosphate catabolic process	GO:0009159
deoxyribonucleoside triphosphate biosynthetic process	GO:0009202	deoxyribonucleoside triphosphate catabolic process	GO:0009204
deoxyribonucleotide biosynthetic process	GO:0009263	deoxyribonucleotide catabolic process	GO:0009264
deoxyribose phosphate biosynthetic process	GO:0046385	deoxyribose phosphate catabolic process	GO:0046386
deoxyuridine biosynthetic process	GO:0046097	deoxyuridine catabolic process	GO:0006219
dephosphorylation of rna polymerase ii c-terminal domain	GO:0070940	phosphorylation of rna polymerase ii c-terminal domain	GO:0070816
