goldResponse,word01,word02,goldVerify
Y,deteriorating,recovering,Y
Y,diseased,healthy,Y
Y,diseased,normal,Y
Y,dominant,recessive,Y
Y,dorsal,ventral,Y
Y,dull,intense,Y
Y,dull,lancinating,Y
Y,dull,sharp,Y
Y,dynamic,stable,Y
Y,activate,deactivate,
N,detect,delete,N
N,detect,tect,N
N,delete,lete,N
N,underwear,derwear,N
N,deactivate,activate,Y
Y,dynamic,static,Y
Y,empty,full,Y
Y,endogenous,exogenous,Y
Y,enlarged,atrophied,Y
Y,enlarged,normal,Y
Y,epigenetic,genetic,Y
Y,eukaryotic,prokaryotic,Y
Y,fatal,non-fatal,Y
Y,filled,empty,Y
,solid,hollow,Y
Y,filled,hollow,Y
Y,fluid,solid,Y
Y,forbid,prescribe,Y
Y,foreign,native,Y
Y,front,back,Y
Y,germinal,somatic,Y
Y,germline,somatic,Y
Y,healthy,pathological,Y
Y,immune,susceptible,Y
Y,infectious,noncontagious,Y
Y,injured,intact,Y
Y,inorganic,organic,Y
Y,intact,ruptured,Y
Y,invertebrate,vertebrate,Y
Y,large,little,Y
Y,large,small,Y
Y,left,right,Y
Y,liquid,solid,Y
Y,live,dead,Y
Y,living,dead,Y
Y,local,general,Y
Y,local,systemic,Y
Y,lying,standing,Y
Y,mental,physical,Y
Y,mutant,wild type,Y
Y,mutant,wild-type,Y
Y,native,non-native,Y
Y,normal,pathological,Y
Y,normal,swollen,Y
Y,progressive,stable,Y
Y,prone,standing,Y
Y,prone,supine,Y
Y,protruding,receding,Y
Y,quick,slow,Y
Y,reclining,standing,Y
Y,sitting,standing,Y
Y,supine,standing,Y
Y,tolerant,intolerant,Y
Y,eraser,reader,Y
Y,eraser,writer,Y
Y,reader,writer,Y
Y,amnesia,recall,Y
Y,amnesia,memory,Y
Y,limb,trunk,Y
Y,appendage,trunk,Y
Y,plasma,serum,Y
Y,depression,prominence,Y
Y,deterioration,recovery,Y
Y,liquid,solid,Y
Y,fluid,solid,Y
Y,gas,liquid,Y
Y,gas,fluid,Y
Y,gas,solid,Y
Y,disease,health,Y
Y,health,illness,Y
Y,eukaryote,prokaryote,Y
Y,invertebrate,vertebrate,Y
Y,delayed,early,Y
Y,early,late,Y
Y,fast,slow,Y
Y,slowly,quickly,Y
Y,glorious,inglorious,Y
N,inglorious,inglorious,N
Y,alive,deceased,Y
Y,healthy tissue,diseased tissue,Y
Y,fast response,slow response,Y
Y,early division,late division,Y
Y,light,dark,Y
Y,dark,light,Y
Y,slow response,rapid response,Y
Y,mitosis,meiosis,Y
N,healthy tissue,healthy tissue,N
Y,under,over,Y
Y,under,above,Y
